iter	Passed	Remaining
185	18992	83119
186	19079	82951
187	19172	82810
188	19258	82637
189	19346	82475
190	19431	82303
191	19585	82423
192	19688	82323
193	19780	82181
194	19874	82046
195	19967	81907
196	20064	81784
197	20158	81652
198	20253	81521
199	20343	81372
200	20427	81202
201	20511	81031
202	20600	80878
203	20694	80750
204	20790	80628
205	20875	80459
206	20957	80287
207	21042	80125
208	21139	80006
209	21273	80028
210	21366	79897
211	21456	79754
212	21555	79644
213	21664	79572
214	21754	79430
215	21853	79320
216	21947	79193
217	22043	79074
218	22165	79046
219	22280	78995
220	22395	78941
221	22499	78848
222	22634	78866
223	22781	78920
224	22892	78851
225	22985	78721
226	23083	78605
227	23174	78468
228	23267	78337
229	23362	78213
230	23456	78087
231	23556	77980
232	23658	77880
233	23764	77793
234	23865	77689
235	23968	77593
236	24066	77480
237	24163	77362
238	24264	77260
239	24358	77135
240	24448	76997
241	24544	76880
242	24639	76758
243	24733	76633
244	24828	76511
245	24922	76389
246	25019	76273
247	25119	76167
248	25209	76034
249	25306	75918
250	25403	75804
251	25496	75679
252	25600	75586
253	25709	75509
254	25805	75391
255	25897	75264
256	25991	75143
257	26086	75025
258	26185	74916
259	26278	74794
260	26375	74679
261	26464	74544
262	26559	74427
263	26656	74313
264	26746	74183
265	26843	74071
266	26942	73964
267	27039	73853
268	27138	73748
269	27230	73622
270	27327	73512
271	27420	73389
272	27512	73266
273	27615	73170
274	27710	73054
275	27800	72925
276	27899	72819
277	27992	72699
278	28083	72573
279	28169	72435
280	28251	72288
281	28356	72198
282	28465	72120
283	28551	71983
284	28692	71983
285	28806	71915
286	28944	71907
287	29102	71948
288	29215	71875
289	29318	71780
290	29414	71666
291	29501	71530
292	29597	71417
293	29715	71357
294	29817	71259
295	29909	71136
296	30006	71025
297	30131	70981
298	30232	70880
299	30347	70811
300	30457	70729
301	30567	70648
302	30664	70538
303	30762	70429
304	30855	70310
305	30956	70209
306	31066	70127
307	31176	70045
308	31282	69956
309	31400	69891
310	31514	69818
311	31633	69755
312	31752	69693
313	31877	69643
314	32013	69615
315	32133	69554
316	32254	69494
317	32378	69440
318	32490	69361
319	32609	69295
320	32722	69216
321	32833	69134
322	32945	69053
323	33055	68968
324	33171	68894
325	33281	68809
326	33389	68718
327	33494	68622
328	33599	68526
329	33708	68437
330	33799	68314
331	33892	68194
332	33985	68072
333	34079	67955
334	34172	67834
335	34264	67712
336	34356	67591
337	34447	67468
338	34555	67377
339	34659	67280
340	34753	67163
341	34842	67036
342	34928	66904
343	35018	66780
344	35107	66652
345	35198	66530
346	35296	66421
347	35389	66305
348	35482	66185
349	35575	66067
350	35673	65959
351	35772	65853
352	35866	65738
353	35966	65633
354	36070	65536
355	36167	65426
356	36270	65327
357	36364	65213
358	36451	65084
359	36539	64959
360	36633	64843
361	36733	64740
362	36827	64625
363	36915	64500
364	37006	64381
365	37091	64252
366	37182	64132
367	37269	64006
368	37354	63876
369	37443	63755
370	37530	63630
371	37624	63516
372	37716	63399
373	37813	63292
374	37902	63170
375	37999	63063
376	38093	62950
377	38193	62847
378	38284	62730
379	38378	62617
380	38477	62513
381	38573	62404
382	38677	62308
383	38771	62195
384	38873	62096
385	38974	61995
386	39065	61879
387	39165	61775
388	39274	61687
389	39370	61579
390	39472	61480
391	39571	61375
392	39669	61270
393	39766	61163
394	39858	61049
395	39953	60939
396	40052	60834
397	40147	60726
398	40235	60605
399	40330	60496
400	40423	60382
401	40533	60295
402	40646	60213
403	40746	60111
404	40837	59995
405	40934	59889
406	41030	59780
407	41119	59663
408	41215	59555
409	41317	59457
410	41417	59354
411	41507	59239
412	41604	59132
413	41703	59029
414	41795	58916
415	41886	58802
416	41977	58688
417	42072	58579
418	42176	58482
419	42270	58372
420	42369	58270
421	42469	58169
422	42569	58066
423	42675	57974
424	42777	57875
425	42873	57768
426	42969	57662
427	43067	57557
428	43165	57453
429	43255	57339
430	43347	57226
431	43448	57126
432	43543	57018
433	43644	56919
434	43737	56808
435	43830	56698
436	43918	56581
437	44004	56462
438	44093	56347
439	44178	56227
440	44266	56111
441	44359	56000
442	44446	55884
443	44533	55767
444	44634	55667
445	44720	55549
446	44805	55430
447	44892	55314
448	44979	55196
449	45064	55078
450	45150	54961
451	45238	54846
452	45325	54731
453	45416	54620
454	45502	54502
455	45589	54387
456	45678	54273
457	45771	54166
458	45859	54052
459	45946	53937
460	46031	53819
461	46121	53708
462	46210	53596
463	46297	53481
464	46383	53365
465	46468	53249
466	46557	53137
467	46646	53025
468	46733	52911
469	46821	52798
470	46917	52694
471	47007	52585
472	47094	52470
473	47182	52359
474	47268	52244
475	47355	52130
476	47440	52015
477	47524	51899
478	47617	51792
479	47706	51682
480	47793	51569
481	47879	51455
482	47967	51343
483	48052	51229
484	48139	51116
485	48228	51006
486	48315	50894
487	48401	50781
488	48488	50669
489	48576	50558
490	48664	50448
491	48755	50341
492	48841	50228
493	48924	50113
494	49012	50002
495	49100	49892
496	49185	49779
497	49270	49666
498	49358	49556
499	49444	49444
500	49532	49334
501	49627	49231
502	49721	49128
503	49811	49020
504	49897	48909
505	49984	48799
506	50069	48686
507	50154	48574
508	50240	48463
509	50327	48354
510	50418	48247
511	50504	48136
512	50594	48030
513	50682	47921
514	50769	47812
515	50855	47701
516	50944	47594
517	51034	47487
518	51123	47380
519	51209	47269
520	51298	47162
521	51383	47052
522	51469	46942
523	51554	46832
524	51646	46727
525	51732	46618
526	51818	46508
527	51902	46398
528	51991	46291
529	52076	46180
530	52163	46072
531	52250	45964
532	52334	45853
533	52424	45748
534	52510	45640
535	52602	45536
536	52690	45429
537	52777	45321
538	52860	45211
539	52944	45100
540	53034	44995
541	53120	44887
542	53204	44777
543	53289	44668
544	53378	44563
545	53463	44455
546	53553	44350
547	53642	44244
548	53729	44138
549	53823	44037
550	53916	43935
551	54014	43837
552	54115	43742
553	54215	43646
554	54307	43543
555	54398	43440
556	54499	43344
557	54600	43249
558	54700	43154
559	54798	43055
560	54896	42958
561	54996	42862
562	55090	42761
563	55184	42660
564	55280	42561
565	55377	42462
566	55477	42366
567	55570	42264
568	55680	42176
569	55779	42079
570	55871	41977
571	55967	41877
572	56058	41775
573	56152	41674
574	56249	41575
575	56345	41476
576	56440	41376
577	56535	41276
578	56634	41179
579	56733	41082
580	56829	40983
581	56924	40884
582	57020	40784
583	57121	40689
584	57220	40592
585	57316	40493
586	57409	40392
587	57504	40292
588	57606	40197
589	57703	40099
590	57797	39998
591	57895	39900
592	57997	39805
593	58094	39707
594	58187	39606
595	58286	39509
596	58384	39411
597	58480	39313
598	58579	39215
599	58683	39122
600	58779	39023
601	58878	38926
602	58976	38828
603	59076	38732
604	59183	38640
605	59285	38545
606	59382	38446
607	59480	38349
608	59582	38254
609	59682	38157
610	59769	38052
611	59855	37947
612	59941	37842
613	60027	37737
614	60113	37632
615	60198	37526
616	60284	37421
617	60369	37315
618	60456	37211
619	60545	37108
620	60640	37009
621	60735	36909
622	60822	36805
623	60906	36699
624	60993	36595
625	61080	36492
626	61166	36387
627	61251	36282
628	61341	36181
629	61431	36078
630	61518	35975
631	61606	35872
632	61700	35772
633	61789	35670
634	61875	35565
635	61959	35460
636	62046	35357
637	62137	35256
638	62227	35155
639	62315	35052
640	62403	34949
641	62491	34847
642	62581	34745
643	62671	34644
644	62758	34541
645	62847	34439
646	62937	34338
647	63022	34234
648	63110	34132
649	63207	34034
650	63305	33938
651	63453	33867
652	63587	33790
653	63715	33708
654	63844	33627
655	63969	33545
656	64080	33454
657	64192	33364
658	64283	33263
659	64370	33160
660	64460	33059
661	64551	32958
662	64695	32884
663	64810	32795
664	64926	32707
665	65043	32619
666	65145	32523
667	65250	32429
668	65355	32335
669	65460	32241
670	65573	32151
671	65689	32062
672	65798	31970
673	65904	31876
674	66011	31783
675	66100	31681
676	66208	31588
677	66311	31493
678	66423	31402
679	66524	31305
680	66623	31208
681	66730	31114
682	66831	31018
683	66925	30918
684	67015	30817
685	67106	30716
686	67195	30614
687	67284	30512
688	67376	30412
689	67469	30312
690	67560	30211
691	67651	30110
692	67741	30009
693	67830	29907
694	67924	29808
695	68022	29711
696	68116	29611
697	68209	29511
698	68300	29411
699	68389	29309
700	68478	29208
701	68569	29108
702	68665	29009
703	68775	28917
704	68868	28817
705	68957	28716
706	69051	28616
707	69142	28516
708	69231	28415
709	69322	28314
710	69410	28213
711	69501	28113
712	69596	28014
713	69683	27912
714	69779	27814
715	69874	27715
716	69976	27619
717	70073	27522
718	70167	27422
719	70265	27325
720	70361	27227
721	70463	27131
722	70568	27036
723	70668	26940
724	70768	26843
725	70863	26744
726	70963	26647
727	71061	26550
728	71158	26452
729	71256	26355
730	71355	26258
731	71456	26161
732	71552	26063
733	71651	25966
734	71752	25869
735	71861	25776
736	71963	25680
737	72061	25582
738	72163	25486
739	72261	25389
740	72359	25291
741	72457	25194
742	72556	25097
743	72654	24999
744	72753	24902
745	72856	24806
746	72955	24709
747	73052	24611
748	73149	24513
749	73239	24413
750	73337	24315
751	73439	24219
752	73539	24122
753	73642	24026
754	73739	23928
755	73836	23830
756	73934	23733
757	74030	23634
758	74126	23536
759	74219	23437
760	74314	23339
761	74410	23241
762	74514	23145
763	74617	23049
764	74719	22953
765	74821	22856
766	74916	22758
767	75017	22661
768	75117	22564
769	75218	22467
770	75310	22368
771	75410	22271
772	75507	22173
773	75610	22077
774	75701	21977
775	75799	21880
776	75887	21779
777	75976	21679
778	76063	21578
779	76149	21478
780	76239	21378
781	76324	21277
782	76413	21177
783	76500	21076
784	76593	20977
785	76684	20878
786	76768	20777
787	76856	20677
788	76944	20576
789	77048	20481
790	77157	20386
791	77253	20288
792	77350	20191
793	77454	20095
794	77554	19998
795	77657	19902
796	77754	19804
797	77853	19707
798	77948	19609
799	78040	19510
800	78131	19410
801	78223	19312
802	78316	19213
803	78414	19115
804	78504	19016
805	78594	18917
806	78682	18817
807	78770	18717
808	78867	18620
809	78962	18522
810	79055	18423
811	79141	18323
812	79231	18224
813	79320	18124
814	79408	18025
815	79498	17926
816	79614	17832
817	79707	17734
818	79803	17636
819	79900	17539
820	79996	17441
821	80090	17343
822	80191	17246
823	80286	17148
824	80370	17048
825	80460	16949
826	80549	16850
827	80641	16751
828	80725	16651
829	80814	16552
830	80902	16453
831	80989	16353
832	81075	16254
833	81160	16154
834	81249	16055
835	81334	15955
836	81421	15856
837	81506	15756
838	81595	15657
839	81684	15558
840	81768	15459
841	81855	15360
842	81942	15261
843	82027	15161
844	82112	15062
845	82202	14963
846	82295	14865
847	82379	14766
848	82482	14670
849	82567	14570
850	82653	14471
851	82740	14372
852	82826	14273
853	82918	14175
854	83001	14076
855	83084	13976
856	83171	13878
857	83261	13779
858	83349	13681
859	83436	13582
860	83523	13484
861	83614	13386
862	83696	13286
863	83786	13188
864	83874	13090
865	83959	12991
866	84045	12892
867	84129	12793
868	84214	12695
869	84302	12596
870	84390	12498
871	84475	12400
872	84574	12303
873	84685	12208
874	84788	12112
875	84893	12016
876	84992	11920
877	85078	11821
878	85163	11723
879	85252	11625
880	85336	11526
881	85420	11428
882	85508	11330
883	85597	11232
884	85691	11134
885	85782	11037
886	85880	10940
887	85980	10844
888	86077	10747
889	86172	10650
890	86266	10553
891	86364	10456
892	86466	10360
893	86577	10265
894	86676	10168
895	86775	10072
896	86867	9974
897	86965	9878
898	87060	9780
899	87155	9683
900	87241	9585
901	87336	9488
902	87436	9392
903	87544	9296
904	87644	9200
905	87742	9103
906	87832	9005
907	87928	8909
908	88019	8811
909	88117	8714
910	88216	8618
911	88311	8521
912	88409	8424
913	88505	8327
914	88604	8231
915	88701	8134
916	88806	8038
917	88898	7940
918	89000	7844
919	89109	7748
920	89213	7652
921	89312	7555
922	89408	7458
923	89506	7362
924	89608	7265
925	89702	7168
926	89803	7071
927	89903	6975
928	89998	6878
929	90099	6781
930	90198	6684
931	90300	6588
932	90395	6491
933	90495	6394
934	90601	6298
935	90696	6201
936	90801	6105
937	90899	6008
938	90993	5911
939	91087	5814
940	91187	5717
941	91289	5620
942	91381	5523
943	91480	5426
944	91607	5331
945	91706	5234
946	91799	5137
947	91897	5040
948	91991	4943
949	92080	4846
950	92178	4749
951	92283	4652
952	92383	4556
953	92480	4459
954	92576	4362
955	92678	4265
956	92772	4168
957	92862	4071
958	92961	3974
959	93059	3877
960	93153	3780
961	93241	3683
962	93331	3585
963	93419	3488
964	93514	3391
965	93618	3295
966	93703	3197
967	93793	3100
968	93883	3003
969	93971	2906
970	94060	2809
971	94147	2712
972	94237	2615
973	94327	2517
974	94414	2420
975	94508	2323
976	94604	2227
977	94699	2130
978	94792	2033
979	94888	1936
980	94977	1839
981	95063	1742
982	95150	1645
983	95237	1548
984	95322	1451
985	95411	1354
986	95501	1257
987	95590	1161
988	95679	1064
989	95764	967
990	95852	870
991	95939	773
992	96025	676
993	96114	580
994	96201	483
995	96288	386
996	96376	290
997	96464	193
998	96555	96
999	96641	0
